index,role,name,shape,count,byte_offset,byte_length
0,weight,conv_1.weight,16x3x3x3,432,0,864
1,bias,conv_1.bias,16,16,864,32
2,weight,conv_2.weight,32x16x3x3,4608,896,9216
3,bias,conv_2.bias,32,32,10112,64
4,weight,conv_3.weight,64x32x3x3,18432,10176,36864
5,bias,conv_3.bias,64,64,47040,128
6,weight,conv_4.weight,128x64x3x3,73728,47168,147456
7,bias,conv_4.bias,128,128,194624,256
8,weight,conv_5.weight,256x128x3x3,294912,194880,589824
9,bias,conv_5.bias,256,256,784704,512
10,weight,conv_6.weight,512x256x3x3,1179648,785216,2359296
11,bias,conv_6.bias,512,512,3144512,1024
12,weight,conv_7.weight,1024x512x3x3,4718592,3145536,9437184
13,bias,conv_7.bias,1024,1024,12582720,2048
14,weight,conv_8.weight,512x1024x3x3,4718592,12584768,9437184
15,bias,conv_8.bias,512,512,22021952,1024
16,weight,conv_9.weight,425x512x1x1,217600,22022976,435200
17,bias,conv_9.bias,425,425,22458176,850
