image,pct_changed,mean_abs_delta,identical
pexels-jakub-sadowski-8771052_jpg.rf.ab16e5e9393fa73806852490b6df683c.jpg,7.5044,9.1807,False
pexels-esteban-amaro-4747925_jpg.rf.c8de00bee50c2d75f1022f3489da3e67.jpg,5.1965,8.1374,False
pexels-roman-odintsov-5855935_jpg.rf.8a74698ef253983fd20b149378fa60e2.jpg,4.0369,6.0605,False
pexels-taryn-elliott-5614628_jpg.rf.f7c270052118e938d804cb5f2e3e49ed.jpg,3.8777,4.6947,False
pexels-kindel-media-7863129_jpg.rf.70af8e5b3d4079aebfb23eddec35f7f5.jpg,3.7449,3.5982,False
pexels-engin-akyurt-1435849_jpg.rf.3baa08357bf48ed89701ad1b2aade31c.jpg,3.6069,5.1611,False
yogesh-pedamkar-9xgCdYZ2aTU-unsplash_jpg.rf.eab346b958264150b6ab03a9d43c9a0f.jpg,3.1973,4.0352,False
pexels-roman-odintsov-5855934_jpg.rf.cf73980f43bf514e38b761c1f26ba090.jpg,2.8696,4.2312,False
pexels-johannes-plenio-1136459_jpg.rf.fe7b574351cba3ed34bab554248c88ba.jpg,2.6113,2.4554,False
adam-cai-EfG0H9J_1hc-unsplash_jpg.rf.2ef2406a2dfa55e11c5dfdd23a3920d9.jpg,2.3325,2.769,False
maja-novak-aFrDNzUEXrI-unsplash_jpg.rf.5bfccae0d268f3d300a9f04d05d4a625.jpg,2.3254,2.0838,False
pexels-fahad-alani-1721675_jpg.rf.84d0b107c5417bc9625d2a6a5c45c409.jpg,2.1111,2.6841,False
pexels-eva-elijas-5949792_jpg.rf.2fed390df453e7efc420df641a4520e7.jpg,1.8979,2.415,False
clement-remond-QtlGVz9_fhg-unsplash_jpg.rf.e0c24518209f5f423ebd663b5508492b.jpg,1.8628,1.7603,False
pexels-roman-odintsov-5855936_jpg.rf.dd85918ef9892a330f435134d6679400.jpg,1.6997,2.2428,False
mohamed-rishfaan-SiIKYn7uZdo-unsplash_jpg.rf.7a2f569eaae53ee3ca115434549029af.jpg,1.5439,1.8887,False
diogo-fagundes-axFC1Rc_k2o-unsplash_jpg.rf.62fe757acda13ffa610aea71622ad8b3.jpg,1.5002,1.5001,False
pexels-valeriia-miller-3798098_jpg.rf.940ebb86a7787709760092202d5d2e55.jpg,1.4314,1.4141,False
jahz-gonzalez-X68YB2dCPuw-unsplash_jpg.rf.21d075be1b581afac4893adf606e7d26.jpg,1.3855,1.562,False
pexels-rodnae-productions-8438014_jpg.rf.729782e0e2bd5fff8516daa851afedbf.jpg,1.127,1.1058,False
pexels-naresh-babu-8455049_jpg.rf.c8cdfdbf954f35a0ce21acf1286f54f8.jpg,1.0959,1.1009,False
pexels-magda-ehlers-787746_jpg.rf.8141d55fe78085141c1d0687ff243ea7.jpg,0.9639,0.9617,False
pexels-free-nature-stock-167830_jpg.rf.cfc809f39b484d2a8e43309db45eb1b8.jpg,0.8191,1.0656,False
wolfgang-hasselmann-h6kS9NPM5X8-unsplash_jpg.rf.d7ea6cf8dd252a6e450fe3ec66b1827e.jpg,0.8137,0.7571,False
simon-lee-1PUnz5GqXkk-unsplash_jpg.rf.bf10930974a80730da5d4804ce77026b.jpg,0.8108,0.807,False
karl-callwood-Mjbcfcfx5Ks-unsplash_jpg.rf.7483d509e3c2fd76b3a07e6a8dcf6a93.jpg,0.772,0.6941,False
aboodi-vesakaran-Ze0xikhU-zs-unsplash_jpg.rf.06c60335c26b34df985d7efc11a72582.jpg,0.7417,0.6611,False
thomas-kinto-ILK3HodMSVk-unsplash_jpg.rf.94b0706d1797818dcac4c3ba80a0ba8f.jpg,0.7236,0.7755,False
satyam-kapoor-B3vK67j_LXw-unsplash_jpg.rf.988f66ade4124e5597fc2d3c1d62ad69.jpg,0.6589,0.6334,False
pexels-brett-sayles-3602693_jpg.rf.1213f56a8dddc9d02d03726e0acbbf78.jpg,0.6562,0.8636,False
pexels-cesar-coni-8251286_jpg.rf.53413a0953cd63e509329ee1a008a918.jpg,0.6548,0.9567,False
pexels-xbx-9960983_jpg.rf.8b1095a9b980246e8dc82005a705e01c.jpg,0.6028,0.6701,False
pexels-tatiana-2147454_jpg.rf.2cea51297dfad26de75cf1d1951b8852.jpg,0.5574,0.682,False
pexels-francesco-ungaro-4715754_jpg.rf.2803deca0a32212c099081c3d23244ce.jpg,0.5037,0.6404,False
charlie-hammond-jZhdoXESBdo-unsplash_jpg.rf.ff09e8c546ffdadbdd1fcd2871abf59a.jpg,0.3901,0.4173,False
wolfgang-hasselmann-ZQrbgtS8O9A-unsplash_jpg.rf.233573f6275c3fc1bc046735416e578f.jpg,0.3608,0.4175,False
arthur-de-almeida-wrBdTpQRmzM-unsplash_jpg.rf.132af235d5d55d65f4fc18aab0a2e668.jpg,0.3308,0.3765,False
pexels-cihat-ozsaray-4212858_jpg.rf.7473c8a72907aa686365f4333e4ab25a.jpg,0.2639,0.2789,False
aditya-chinchure-k3nL4i29-zc-unsplash_jpg.rf.31ff6968a497484221326404b5e9d9cc.jpg,0.1755,0.2034,False
pexels-uncoated-60086_jpg.rf.f84f843a0f7929b760eb807c72e499db.jpg,0.1726,0.176,False
